Date_Hour,Temperature,Humidity,Wind_Speed,Precipitation,Condition,City
13-04-2024 09:00,34.8,20,8.3,0,Sunny,
13-04-2024 10:00,36.6,17,6.5,0,Sunny,
13-04-2024 11:00,38.3,16,3.6,0,Sunny,
13-04-2024 12:00,38.9,15,8.6,0,Sunny,
13-04-2024 13:00,39.4,14,13.7,0,Sunny,
13-04-2024 14:00,39.3,14,17.3,0,Sunny,
13-04-2024 15:00,37.6,17,20.5,0,Sunny,
13-04-2024 16:00,36.3,19,15.5,0,Sunny,
13-04-2024 17:00,33.6,24,10.4,0,Sunny,
13-04-2024 18:00,30.6,29,6.8,0,Clear,
13-04-2024 19:00,29.3,31,4.3,0,Clear,
13-04-2024 20:00,28.6,33,4.3,0,Clear,
13-04-2024 21:00,28.1,33,5,0,Clear,
13-04-2024 22:00,27.5,33,2.9,0,Clear,
13-04-2024 23:00,27.2,33,3.6,0,Clear,
14-04-2024 00:00,24.8,37,4.3,0,Clear,
14-04-2024 01:00,24.1,37,4,0,Clear,
14-04-2024 02:00,23.7,38,5,0,Clear,
14-04-2024 03:00,23,40,5,0,Clear,
14-04-2024 04:00,22.6,41,5.8,0,Clear,
14-04-2024 05:00,22.8,41,5.4,0,Clear,
14-04-2024 06:00,26.2,34,5.4,0,Sunny,
14-04-2024 07:00,29.7,28,7.9,0,Sunny,
14-04-2024 08:00,32.4,24,8.3,0,Sunny,
14-04-2024 09:00,34.4,21,9,0,Sunny,
14-04-2024 10:00,36.1,19,8.6,0,Sunny,
14-04-2024 11:00,37.9,16,5.8,0,Sunny,
14-04-2024 12:00,38.5,14,9,0,Sunny,
14-04-2024 13:00,38.8,13,12.2,0,Sunny,
14-04-2024 14:00,38.9,12,14,0,Sunny,
14-04-2024 15:00,38.8,12,12.6,0,Sunny,
14-04-2024 16:00,37.6,15,9.7,0,Sunny,
14-04-2024 17:00,34.5,19,9,0,Sunny,
14-04-2024 18:00,31.9,23,6.5,0,Clear,
14-04-2024 19:00,30.7,25,5.8,0,Clear,
14-04-2024 20:00,30.8,25,1.8,0,Clear,
14-04-2024 21:00,30.8,26,3.6,0,Clear,
14-04-2024 22:00,30.1,26,8.3,0,Clear,
14-04-2024 23:00,28.9,28,1.8,0,Clear,
15-04-2024 00:00,26.4,30,3.6,0,Clear,
15-04-2024 01:00,25.9,31,0.7,0,Clear,
15-04-2024 02:00,26.8,30,1.1,0,Clear,
15-04-2024 03:00,27.1,30,5,0,Clear,
15-04-2024 04:00,25.9,32,0.7,0,Clear,
15-04-2024 05:00,25.6,33,5.8,0,Clear,
15-04-2024 06:00,28.7,29,5.8,0,Sunny,
15-04-2024 07:00,31.8,24,7.9,0,Sunny,
15-04-2024 08:00,34.3,21,7.9,0,Sunny,
15-04-2024 09:00,36.5,18,7.2,0,Sunny,
15-04-2024 10:00,38.9,15,3.2,0,Sunny,
15-04-2024 11:00,40.2,14,6.1,0,Sunny,
15-04-2024 12:00,40.8,13,12.6,0,Sunny,
15-04-2024 13:00,41,12,18.4,0,Sunny,
15-04-2024 14:00,40.8,12,18,0,Sunny,
15-04-2024 15:00,39.8,13,14,0,Sunny,
15-04-2024 16:00,38,15,12.2,0,Sunny,
15-04-2024 17:00,35.6,18,6.8,0,Sunny,
15-04-2024 18:00,33.7,21,3.6,0,Clear,
15-04-2024 19:00,33,22,3.6,0,Clear,
15-04-2024 20:00,31.5,24,5,0,Clear,
15-04-2024 21:00,31.7,24,5.4,0,Clear,
15-04-2024 22:00,30.5,25,4.7,0,Clear,
15-04-2024 23:00,30.4,25,4.3,0,Clear,
16-04-2024 00:00,29.8,31,0.4,0,Clear,
16-04-2024 01:00,28.4,34,3.2,0,Clear,
16-04-2024 02:00,28.9,33,6.1,0,Clear,
16-04-2024 03:00,27,38,2.5,0.06,Patchy rain possible,
16-04-2024 04:00,27.8,36,1.8,0,Clear,
16-04-2024 05:00,27.9,36,3.6,0,Sunny,
16-04-2024 06:00,29.1,35,2.2,0.19,Patchy rain possible,
16-04-2024 07:00,29.8,33,7.6,0.05,Patchy rain possible,
16-04-2024 08:00,30.3,33,2.5,0,Sunny,
16-04-2024 09:00,34.1,25,8.6,0,Sunny,
16-04-2024 10:00,33.5,26,7.6,0,Sunny,
16-04-2024 11:00,37.1,22,9,0,Sunny,
16-04-2024 12:00,38.1,22,9,0,Sunny,
16-04-2024 13:00,39.5,20,6.5,0,Sunny,
16-04-2024 14:00,38.8,22,15.1,0.29,Patchy rain possible,
16-04-2024 15:00,28.5,53,22,0.27,Patchy rain possible,
16-04-2024 16:00,30.1,48,13.7,0,Sunny,
16-04-2024 17:00,29.6,50,7.6,0,Partly cloudy,
16-04-2024 18:00,29.3,50,1.8,0,Partly cloudy,
16-04-2024 19:00,29.2,50,8.6,0,Clear,
16-04-2024 20:00,28,54,8.6,0,Clear,
16-04-2024 21:00,26.6,59,11.5,0.1,Patchy rain possible,
16-04-2024 22:00,26.2,61,8.6,0.1,Patchy rain possible,
16-04-2024 23:00,25.8,62,7.2,0,Clear,
17-04-2024 00:00,26.1,61,5.4,0,Clear,
17-04-2024 01:00,24.6,67,4.7,0.14,Patchy rain possible,
17-04-2024 02:00,23.8,72,5,0.56,Moderate rain at times,
17-04-2024 03:00,23.2,74,5,0.02,Patchy rain possible,
17-04-2024 04:00,22.6,75,6.5,0.02,Patchy rain possible,
17-04-2024 05:00,22.7,75,4.7,0.16,Patchy rain possible,
17-04-2024 06:00,25.2,66,5.8,0,Sunny,
17-04-2024 07:00,27.9,55,11.2,0,Sunny,
17-04-2024 08:00,30.6,45,13.3,0,Sunny,
17-04-2024 09:00,32.8,37,14.8,0,Sunny,
17-04-2024 10:00,34.5,32,12.6,0,Sunny,
17-04-2024 11:00,35.6,29,10.1,0,Sunny,
17-04-2024 12:00,37.4,26,7.6,0,Sunny,
17-04-2024 13:00,38.7,24,9.7,0,Sunny,
17-04-2024 14:00,35.5,38,20.2,2.2,Patchy rain possible,
17-04-2024 15:00,32.1,45,14.4,0,Sunny,
17-04-2024 16:00,33.5,39,11.2,0.24,Patchy rain possible,
17-04-2024 17:00,31.2,44,9,0,Partly cloudy,
17-04-2024 18:00,30.2,46,6.1,0,Clear,
17-04-2024 19:00,29.5,47,4.7,0,Clear,
17-04-2024 20:00,28.5,51,18,0,Clear,
17-04-2024 21:00,26.7,59,16.2,0,Clear,
17-04-2024 22:00,25.5,65,16.6,0,Clear,
17-04-2024 23:00,24.9,68,16.9,0,Clear,
18-04-2024 00:00,24,71,16.6,0.03,Patchy rain possible,
18-04-2024 01:00,22.6,74,13.7,0,Clear,
18-04-2024 02:00,22,78,9.4,0,Clear,
18-04-2024 03:00,21.6,80,8.3,0.09,Patchy rain possible,
18-04-2024 04:00,21.4,81,9.4,0,Clear,
18-04-2024 05:00,21.6,81,7.2,0,Sunny,
18-04-2024 06:00,23.7,72,10.8,0,Sunny,
18-04-2024 07:00,26.4,59,13,0,Sunny,
18-04-2024 08:00,29.2,49,12.2,0,Sunny,
18-04-2024 09:00,31.3,42,12.2,0,Sunny,
18-04-2024 10:00,33.2,37,11.9,0,Sunny,
18-04-2024 11:00,34.6,34,10.8,0,Sunny,
18-04-2024 12:00,35.7,30,10.1,0,Sunny,
18-04-2024 13:00,36.5,27,9.4,0,Sunny,
18-04-2024 14:00,37.8,25,9.7,0,Sunny,
18-04-2024 15:00,38.1,24,10.8,0,Sunny,
18-04-2024 16:00,36,30,17.6,0.39,Patchy light drizzle,
18-04-2024 17:00,29.1,47,15.1,0,Sunny,
18-04-2024 18:00,27.9,50,6.1,0,Clear,
18-04-2024 19:00,27,53,7.6,0,Clear,
18-04-2024 20:00,26.6,56,6.1,0,Clear,
18-04-2024 21:00,26.3,59,3.2,0.32,Patchy rain possible,
18-04-2024 22:00,26.8,58,2.9,0.07,Patchy rain possible,
18-04-2024 23:00,26.8,58,5.8,0,Clear,
19-04-2024 00:00,26.7,39,3.2,0,Clear,
19-04-2024 01:00,25.7,41,0.4,0,Clear,
19-04-2024 02:00,24.8,46,3.6,0,Clear,
19-04-2024 03:00,24.2,49,5,0,Clear,
19-04-2024 04:00,23.6,52,3.6,0,Clear,
19-04-2024 05:00,24.3,52,2.2,0,Sunny,
19-04-2024 06:00,27.2,45,0,0,Sunny,
19-04-2024 07:00,30.1,37,2.5,0,Sunny,
19-04-2024 08:00,32.1,32,5.4,0,Sunny,
19-04-2024 09:00,33.5,29,8.6,0,Sunny,
19-04-2024 10:00,34.7,27,11.5,0,Sunny,
19-04-2024 11:00,36,25,13,0,Sunny,
19-04-2024 12:00,37,23,14.4,0,Sunny,
19-04-2024 13:00,38,22,14.8,0,Sunny,
19-04-2024 14:00,37.8,23,14.8,0,Partly cloudy,
19-04-2024 15:00,35.7,28,12.6,0,Partly cloudy,
19-04-2024 16:00,34.4,33,10.1,0.02,Patchy rain possible,
19-04-2024 17:00,32.9,37,4,0.03,Patchy rain possible,
19-04-2024 18:00,31.2,41,8.6,0,Clear,
19-04-2024 19:00,28.3,53,3.6,0.26,Patchy rain possible,
19-04-2024 20:00,27.3,58,4.7,0.24,Patchy rain possible,
19-04-2024 21:00,26.6,60,8.6,0,Clear,
19-04-2024 22:00,25.6,64,8.6,0.39,Patchy rain possible,
19-04-2024 23:00,25.3,67,13,0,Clear,
20-04-2024 00:00,24.7,64,8.6,0.07,Patchy rain possible,
20-04-2024 01:00,24,68,7.9,0.02,Patchy rain possible,
20-04-2024 02:00,23.4,71,6.8,0,Clear,
20-04-2024 03:00,23.2,72,6.5,0,Clear,
20-04-2024 04:00,22.5,75,7.2,0,Partly cloudy,
20-04-2024 05:00,22.9,74,7.2,0,Sunny,
20-04-2024 06:00,25.2,65,9.7,0.05,Patchy rain possible,
20-04-2024 07:00,27.3,56,12.2,0,Sunny,
20-04-2024 08:00,29.9,46,13,0,Sunny,
20-04-2024 09:00,32.1,39,13.3,0,Sunny,
20-04-2024 10:00,33.7,34,12.2,0,Sunny,
20-04-2024 11:00,34.8,32,10.8,0,Sunny,
20-04-2024 12:00,35.7,29,10.4,0,Sunny,
20-04-2024 13:00,36.5,28,9.7,0,Partly cloudy,
20-04-2024 14:00,36.9,27,9,0,Partly cloudy,
20-04-2024 15:00,34.9,31,14.4,0.23,Patchy light drizzle,
20-04-2024 16:00,33.6,33,15.1,0.03,Patchy rain possible,
20-04-2024 17:00,29.2,51,3.2,0.41,Patchy rain possible,
20-04-2024 18:00,26.7,60,6.8,0.24,Patchy rain possible,
20-04-2024 19:00,25.7,65,7.6,0.02,Patchy rain possible,
20-04-2024 20:00,24.5,70,11.2,0.05,Patchy rain possible,
20-04-2024 21:00,23.4,75,14.8,0,Clear,
